Name,Weight,Time,Water,Oil,Olive Oil,Skimmed Milk,Egg,Salt,Sugar,Brown Sugar,White Flour,Instant Yeast,Whole Wheat Flour,Rye Flour,Maize Flour,Gluten-free Flour,High-Gluten Flour,Cooked Rice,Fruit Pulp,Lemon Juice,Whole Milk,Natural Yogurt
Basic Bread,1 Lb,2:55,14 tbsp,1 ½ tbsp,,,,½ tsp,1 tbsp,,2 1/3 cup,1 tsp,,,,,,,,,,
,1.5 Lb,3:00,"1 cup, 1 ½ tbsp",2 ½ tbsp,,,,1 tsp,2 tbsp,,3 cup,1 tsp,,,,,,,,,,
,2 Lb,3:05,"1 cup, 5 ½ tbsp",3 tbsp,,,,1 ½ tsp,2 tbsp,,3 ½ cup,1 ¼ tsp,,,,,,,,,,
Quick Bread,1 Lb,1:55,9 ½ tbsp,2 tbsp,,,,2/3 tsp,1 tbsp,,2 cup,1 ½ tsp,,,,,,,,,,
,1.5 Lb,2:00,13 tsp,2 ½ tbsp,,,,¾ tsp,2 tbsp,,2 ½ cup,1 ½ tsp,,,,,,,,,,
,2 Lb,2:05,1 cup,3 tbsp,,,,1 tsp,3 tbsp,,3 cup,2 ½ tsp,,,,,,,,,,
Sweet Bread,1 Lb,3:40,8 tbsp,1 ½ tbsp,,¼ cup,1 whole egg,½ tsp,2 tbsp,,2 cup,½ tsp,,,,,,,,,,
,1.5 Lb,3:45,11 tbsp,2 tbsp,,1/3 cup,1 whole egg,½ tsp,3 tbsp,,2 ¾ cup,½ tsp,,,,,,,,,,
,2 Lb,3:50,13 ½ tbsp,2 ½ tbsp,,½ cup,1 whole egg,½ tsp,4 tbsp,,3 ½ cup,½ tsp,,,,,,,,,,
French Bread,1 Lb,3:55,12 tbsp,1 tbsp,,,,2 tsp,1 ½ tbsp,,2 ¼ cup,2/3 tsp,,,,,,,,,,
,1.5 Lb,4:00,"1 cup, 1 ½ tbsp",1 ½ tbsp,,,,2 ½ tsp,1 ½ tbsp,,2 ¾ cup,1 tsp,,,,,,,,,,
,2 Lb,4:05,"1 cup, 5 ½ tbsp",2 tbsp,,,,3 tsp,2 tbsp,,3 ½ cup,1 ¼ tsp,,,,,,,,,,
Whole Wheat Bread,1 Lb,3:55,12 tbsp,2 tbsp,,,,2/3 tsp,1 ¾ tbsp,,1 cup,2/3 tsp,1 cup,,,,,,,,,
,1.5 Lb,4:00,15 tbsp,2 ½ tbsp,,,,¾ tsp,2 tbsp,,1 ½ cup,1 tsp,1 ½ cup,,,,,,,,,
,2 Lb,4:05,"1 cup, 2 tbsp",3 tbsp,,,,1 tsp,3 tbsp,,2 cup,1 ¼ tsp,2 cup,,,,,,,,,
Rye Bread,1 Lb,3:25,12 tbsp,2 tbsp,,,,2/3 tsp,,1 ¾ tbsp,1 cup,2/3 tsp,,1 cup,,,,,,,,
,1.5 Lb,3:30,15 tbsp,2 ½ tbsp,,,,¾ tsp,,2 tbsp,1 ½ cup,1 tsp,,1 ½ cup,,,,,,,,
,2 Lb,3:35,"1 cup, 2 tbsp",3 tbsp,,,,1 tsp,,3 tbsp,2 cup,1 ¼ tsp,,2 cup,,,,,,,,
Gluten-Free Bread,1 Lb,2:55,9 ½ tbsp,2 tbsp,,,,2/3 tsp,2 tbsp,,,1 ½ tsp,,,¼ cup,1 ¾ cup,,,,,,
,1.5 Lb,3:00,13 tbsp,2 ½ tbsp,,,,¾ tsp,2 ½ tbsp,,,1 ½ tsp,,,½ cup,2 cup,,,,,,
,2 Lb,3:05,15 ½ tbsp,3 tbsp,,,,1 tsp,3 tbsp,,,1 ¼ tsp,,,¾ cup,2 ¼ cup,,,,,,
Rice Bread,1 Lb,2:40,10 tbsp,2 tbsp,,,1 whole egg,2/3 tsp,1 tbsp,,,2/3 tsp,,,,,2 cup,¼ cup,,,,
,1.5 Lb,2:45,13 tbsp,2 ½ tbsp,,,1 whole egg,¾ tsp,2 tbsp,,,1 tsp,,,,,2 ½ cup,½ cup,,,,
,2 Lb,2:50,1 cup,3 tbsp,,,1 whole egg,1 tsp,2 tbsp,,,1 ¼ tsp,,,,,3 cup,¾ cup,,,,
Sandwich Bread,1 Lb,4:55,14 tbsp,½ tsp,,,,2/3 tsp,2/3 tsp,,2 cup,2/3 tsp,,,,,,,,,,
,1.5 Lb,5:00,"1 cup, ¾ tbsp",¾ tsp,,,,¾ tsp,¾ tsp,,2 ½ cup,1 tsp,,,,,,,,,,
,2 Lb,5:05,"1 cup, 4 tbsp",1 1/3 tsp,,,,1 tsp,1 tbsp,,3 cup,1 ¼ tsp,,,,,,,,,,
100% Whole Wheat Dough,,3:10,"1 cup, 9 ½ tsp",2 tbsp,,,,1 ½ tsp,2 tbsp,,,1 ½ tsp,4 ¾ cup,,,,,,,,,
70% Whole Wheat Dough,,3:10,1 ½ cup,2 tbsp,,,,1 ½ tsp,2 tsp,,1 1/3 cup,1 ½ tsp,3 1/3 cup,,,,,,,,,
Pizza Dough,,0:45,1 cup,,2 tbsp,,,½ tbsp,,,2 ½ cup,½ tbsp,,,,,,,,,,
Leavened Dough,,1:30,"1 cup, 7 ½ tbsp",,2 tbsp,,,1 ½ tsp,2 tbsp,,4 ¾ cup,1 ¼ tsp,,,,,,,,,,
Jam,,1:20,,,,,,,½ cup,,,,,,,,,,"1 cup, 5 tbsp",½ lemon,,
Yogurt,,8:00,,,,,,,4 tbsp,,,,,,,,,,,,"4 cup, 3 ½ tbsp",6 ½ tbsp
